Info 0    [12:02:10.253] Starting TS Server
Info 1    [12:02:10.254] Version: 4.6.3
Info 2    [12:02:10.254] Arguments: /opt/homebrew/Cellar/node@16/16.15.0/bin/node /Users/marcel/code/reading-browser-extension/node_modules/typescript/lib/tsserver.js --logFile /Users/marcel/code/reading-browser-extension/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/5k/9w9pmcps197bdr5x1jft_79r0000gn/T/ac768b2fd49e15dd71a64962df3984f0/tscancellation*
Info 3    [12:02:10.254] Platform: darwin NodeVersion: 16 CaseSensitive: false
Info 4    [12:02:10.254] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [12:02:10.267] Format host information updated
Info 6    [12:02:10.268] Search path: /Users/marcel/code/reading-browser-extension/source
Info 7    [12:02:10.268] For info: /Users/marcel/code/reading-browser-extension/source/content.js :: No config files found.
Info 8    [12:02:10.272] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [12:02:11.536] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 1263.779665991664ms
Info 10   [12:02:11.537] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [12:02:11.537] 	Files (107)

Info 12   [12:02:11.537] -----------------------------------------------
Info 13   [12:02:11.548] AutoImportProviderProject: found 1 root files in 1 dependencies in 10.259625002741814 ms
Info 14   [12:02:11.549] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 15   [12:02:11.566] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 16.959125012159348ms
Info 16   [12:02:11.566] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 17   [12:02:11.566] 	Files (1)

Info 18   [12:02:11.566] -----------------------------------------------
Info 19   [12:03:06.796] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [12:03:06.829] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 32.604583993554115ms
Info 21   [12:03:06.829] Different program with same set of files
Info 22   [12:03:06.897] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [12:03:06.903] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 5.674332991242409ms
Info 24   [12:03:06.903] Different program with same set of files
Info 25   [12:03:07.229] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 26   [12:03:07.236] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 6.962166994810104ms
Info 27   [12:03:07.236] Different program with same set of files
Info 28   [12:03:07.306] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [12:03:07.311] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 4.559459000825882ms
Info 30   [12:03:07.311] Different program with same set of files
Info 31   [12:03:07.471] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [12:03:07.480] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 9.237791001796722ms
Info 33   [12:03:07.480] Different program with same set of files
Info 34   [12:03:07.637] getCompletionData: Get current token: 0.014917001128196716
Info 35   [12:03:07.637] getCompletionData: Is inside comment: 0.07054199278354645
Info 36   [12:03:07.637] getCompletionData: Get previous token: 0.04366700351238251
Info 37   [12:03:07.641] getCompletionsAtPosition: isCompletionListBlocker: 0.24799999594688416
Info 38   [12:03:07.646] getExportInfoMap: cache miss or empty; calculating new results
Info 39   [12:03:07.673] forEachExternalModuleToImportFrom autoImportProvider: 0.24870800971984863
Info 40   [12:03:07.673] getExportInfoMap: done in 27.267459005117416 ms
Info 41   [12:03:07.680] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 42   [12:03:07.680] collectAutoImports: response is complete
Info 43   [12:03:07.680] collectAutoImports: 6.560000002384186
Info 44   [12:03:07.680] getCompletionData: Semantic work: 38.96000000834465
Info 45   [12:03:07.706] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 25.628124997019768
Info 46   [12:03:08.392] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 47   [12:03:08.402] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 9.22791600227356ms
Info 48   [12:03:08.402] Different program with same set of files
Info 49   [12:03:08.403] getCompletionData: Get current token: 0.022582992911338806
Info 50   [12:03:08.403] getCompletionData: Is inside comment: 0.008665993809700012
Info 51   [12:03:08.403] getCompletionData: Get previous token: 0.04012499749660492
Info 52   [12:03:08.403] getCompletionsAtPosition: isCompletionListBlocker: 0.019541993737220764
Info 53   [12:03:08.405] getCompletionData: Semantic work: 1.892208993434906
Info 54   [12:03:08.410] getCompletionData: Get current token: 0.013833001255989075
Info 55   [12:03:08.411] getCompletionData: Is inside comment: 0.004124999046325684
Info 56   [12:03:08.411] getCompletionData: Get previous token: 0.028625011444091797
Info 57   [12:03:08.411] getCompletionsAtPosition: isCompletionListBlocker: 0.08933299779891968
Info 58   [12:03:08.412] getCompletionData: Semantic work: 1.7808750122785568
Info 59   [12:03:08.647] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 60   [12:03:08.652] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 5.169375002384186ms
Info 61   [12:03:08.653] Different program with same set of files
Info 62   [12:03:08.801] getCompletionData: Get current token: 0.005667001008987427
Info 63   [12:03:08.801] getCompletionData: Is inside comment: 0.013291999697685242
Info 64   [12:03:08.801] getCompletionData: Get previous token: 0.012415990233421326
Info 65   [12:03:08.801] getCompletionsAtPosition: isCompletionListBlocker: 0.002250000834465027
Info 66   [12:03:08.803] getCompletionData: Semantic work: 2.4382079988718033
Info 67   [12:03:08.807] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 2.9813750088214874
Info 68   [12:03:10.009] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 69   [12:03:10.018] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 8.442625001072884ms
Info 70   [12:03:10.018] Different program with same set of files
Info 71   [12:03:10.535] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 72   [12:03:10.546] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 10.43800000846386ms
Info 73   [12:03:10.546] Different program with same set of files
Info 74   [12:03:10.793] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 75   [12:03:10.803] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 9.366707995533943ms
Info 76   [12:03:10.803] Different program with same set of files
Info 77   [12:03:10.803] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 78   [12:03:10.814] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 10.478707998991013ms
Info 79   [12:03:10.814] Different program with same set of files
Info 80   [12:03:11.327] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 81   [12:03:11.341] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 14.307166993618011ms
Info 82   [12:03:11.341] Different program with same set of files
Info 83   [12:03:12.351] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 84   [12:03:12.356] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 5.041958004236221ms
Info 85   [12:03:12.356] Different program with same set of files
Info 86   [12:03:12.357] getCompletionData: Get current token: 0.029499992728233337
Info 87   [12:03:12.357] getCompletionData: Is inside comment: 0.007375001907348633
Info 88   [12:03:12.357] getCompletionData: Get previous token: 0.02791699767112732
Info 89   [12:03:12.357] getCompletionsAtPosition: isCompletionListBlocker: 0.0035410076379776
Info 90   [12:03:12.358] getCompletionData: Semantic work: 1.1831669956445694
Info 91   [12:03:12.365] getCompletionData: Get current token: 0.01912499964237213
Info 92   [12:03:12.365] getCompletionData: Is inside comment: 0.004417002201080322
Info 93   [12:03:12.365] getCompletionData: Get previous token: 0.023791000247001648
Info 94   [12:03:12.365] getCompletionsAtPosition: isCompletionListBlocker: 0.002750009298324585
Info 95   [12:03:12.366] getCompletionData: Semantic work: 0.45412498712539673
Info 96   [12:03:12.721] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 97   [12:03:12.727] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 6.536209002137184ms
Info 98   [12:03:12.727] Different program with same set of files
Info 99   [12:03:13.097] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 100  [12:03:13.103] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 6.0071250051259995ms
Info 101  [12:03:13.103] Different program with same set of files
Info 102  [12:03:14.228] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 103  [12:03:14.237] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 8.499458998441696ms
Info 104  [12:03:14.237] Different program with same set of files
Info 105  [12:03:15.324] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 106  [12:03:15.330] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 5.657416999340057ms
Info 107  [12:03:15.330] Different program with same set of files
Info 108  [12:03:15.467] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 109  [12:03:15.473] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 6.005625009536743ms
Info 110  [12:03:15.473] Different program with same set of files
Info 111  [12:03:15.474] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 112  [12:03:15.482] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false structureIsReused:: Completely Elapsed: 8.481959000229836ms
Info 113  [12:03:15.482] Different program with same set of files
Info 114  [12:03:15.622] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 115  [12:03:15.625] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false structureIsReused:: Completely Elapsed: 2.9420420080423355ms
Info 116  [12:03:15.625] Different program with same set of files
Info 117  [12:03:15.724] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 118  [12:03:15.732] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false structureIsReused:: Completely Elapsed: 7.522124990820885ms
Info 119  [12:03:15.732] Different program with same set of files
Info 120  [12:03:15.802] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 121  [12:03:15.808] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false structureIsReused:: Completely Elapsed: 5.512457996606827ms
Info 122  [12:03:15.808] Different program with same set of files
Info 123  [12:03:16.145] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 124  [12:03:16.156] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false structureIsReused:: Completely Elapsed: 10.330375000834465ms
Info 125  [12:03:16.156] Different program with same set of files
Info 126  [12:03:16.168] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 127  [12:03:16.171] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false structureIsReused:: Completely Elapsed: 2.9417499899864197ms
Info 128  [12:03:16.171] Different program with same set of files
Info 129  [12:03:16.304] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 130  [12:03:16.307] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false structureIsReused:: Completely Elapsed: 2.555874988436699ms
Info 131  [12:03:16.307] Different program with same set of files
Info 132  [12:03:16.435] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
